FloatShares,Ticker,Price,52 week high,52 week low,avg Daily Volume,50 day Moving Average,200 day moving average,price/eps estimate this year,price/eps estimate next year,Short Ratio
23084000,FLWS_nasdaq,6.02,2.77,6.6,186708,6.0574,4.9693,27.36,22.3,5.3
6312000,FCTY_nasdaq,5.96,4.5,6.45,6558,5.8949,5.4298,7.1,15.68,1.6
4276000,FCCY_nasdaq,9.5,7.55,9.75,3825,9.2089,8.9165,10,9.05,2.1
6520000,SRCE_nasdaq,24.54,19.7,25.25,28466,24.3957,23.4745,N/A,N/A,11.7
23951000,FUBC_nasdaq,7.1,5.3,7.2,53331,6.624,6.3942,27.31,19.19,12
43159000,VNET_nasdaq,11.93,8.39,12.48,311638,10.5011,9.6979,26.51,16.34,5
N/A,SSRX_nasdaq,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
9718000,JOBS_nasdaq,65.52,34,68.5,73522,62.3386,57.234,23.4,19.27,1.9
63046000,EGHT_nasdaq,8.41,4.18,8.5,695564,7.9786,7.2995,32.35,24.74,7.3
7329000,AVHI_nasdaq,17.33,11.34,18.26,38095,14.6191,14.1746,N/A,N/A,32.3
28701000,SHLM_nasdaq,26.605,19.95,33.4,193716,27.8294,29.391,13.64,11.67,4.6
27983000,AAON_nasdaq,22.6533,11.7,24.06,114898,21.7094,17.894,26.04,22.21,8
44209000,ASTM_nasdaq,0.3802,0.35,2.19,241584,0.5214,0.944,N/A,N/A,14
21002000,ABAX_nasdaq,47.91,33.28,49.45,136653,45.5066,43.5637,45.2,36.57,19.6
30950000,ABMD_nasdaq,22.01,11.8,24.93,387803,21.7271,17.4013,64.74,37.31,14.1
78737000,AXAS_nasdaq,2.04,1.56,3.38,534966,2.2769,2.212,18.55,10.2,15.8
44120000,ACTG_nasdaq,23.47,19.86,40.32,691975,24.0434,26.1006,10.12,7.88,5.5
35880000,ACHC_nasdaq,33.1,15.08,35.78,384641,33.8071,29.193,32.14,24.89,13
49340000,ACAD_nasdaq,17.69,1.42,20.09,4414560,16.3086,9.8581,N/A,N/A,2.1
29208000,ACST_nasdaq,2.91,1.61,3.99,21153,2.696,2.4502,N/A,N/A,3.1
19015000,AXDX_nasdaq,8.12,2.75,9.22,89553,8.4109,6.1637,N/A,N/A,10.2
49603000,ACCL_nasdaq,8.38,7.59,9.98,200325,8.3657,9.1629,26.19,22.65,6.2
6451000,ANCX_nasdaq,13.29,10.9,18.07,40597,12.8626,14.0399,11.66,13.03,16.1
63196000,ARAY_nasdaq,5.66,3.76,7.44,933358,5.53,5.068,N/A,N/A,17.1
0,ACRX_nasdaq,10.55,2.27,11.77,503697,8.6483,6.0587,N/A,N/A,3.4
25824000,ACET_nasdaq,13.98,8.25,14.2,131742,12.7714,11.0406,15.89,13.84,2.1
79299000,ACHN_nasdaq,6.26,6.17,11.36,1299390,7.7949,8.2986,N/A,N/A,12.5
39310000,ACIW_nasdaq,46.57,36.51,51.88,251556,45.2529,46.0171,19.82,14.88,12.3
5818000,ACNB_nasdaq,16.75,14.06,17.2,2852,16.6089,16.5348,N/A,N/A,1
39261000,ACOR_nasdaq,34.86,21.33,40.87,441588,33.3834,31.4804,129.11,40.53,8.5
15568000,ACFN_nasdaq,8.24,6.16,11,80142,8.4794,7.5925,N/A,N/A,37.7
62948000,ACTS_nasdaq,2.92,1.46,3.4,119206,2.9734,2.5345,N/A,N/A,0.2
13565000,ACPW_nasdaq,4.15,2.9,4.98,56705,4.2854,4.3047,138.33,12.21,3.3
427694000,ATVI_nasdaq,14.32,10.45,16.11,7430380,14.5789,13.6634,16.85,14.04,0.7
43446000,BIRT_nasdaq,6.74,4.97,6.93,192975,6.6646,6.1107,17.28,14.65,5.9
18855000,ACUR_nasdaq,2.04,1.06,4.5,764780,2.1749,2.2444,N/A,17,2.5
73390000,ACXM_nasdaq,23.82,15.22,24.32,394028,22.3009,19.7309,31.76,26.76,6.1
9071000,ADES_nasdaq,40.29,13.88,42.59,83509,37.4763,27.4626,60.13,11.71,4.1
5745000,ADUS_nasdaq,19.12,4.06,20.72,163439,17.9886,12.0999,21.48,19.31,1.3
4999000,AEY_nasdaq,2.27,1.87,2.4,14477,2.2409,2.2251,N/A,N/A,0.3
8497000,ADEP_nasdaq,3.78,2.38,4.69,47470,3.6857,3.337,N/A,N/A,1.2
468976000,ADBE_nasdaq,46.03,29.52,47.19,3682900,44.1146,41.7448,31.97,26.76,1.7
58987000,ADTN_nasdaq,25.18,15.38,29.77,831075,23.564,21.501,37.03,27.98,12.3
36161000,AEIS_nasdaq,18.39,10.8,20,337031,17.934,17.1328,19.16,11.08,4.2
32535000,ADVS_nasdaq,35.15,20.85,36.21,225180,33.1383,27.8199,29.54,27.04,4.9
24382000,AEGR_nasdaq,69.69,12.87,75.69,701950,65.6094,41.6366,N/A,116.15,3.9
37269000,AEGN_nasdaq,23.16,16.96,26.1,232756,22.844,22.8869,14.12,10.92,18.5
8003000,AEHR_nasdaq,1.3,0.66,1.5,9461,1.342,1.0579,N/A,N/A,1.5
3355000,AEPI_nasdaq,73.54,43.43,85.8,29373,76.7974,70.1929,38.5,30.77,9.9
19236000,AVAV_nasdaq,19.9,16.98,26.45,230656,20.03,20.4094,46.28,40.61,9.2
23451000,AEZS_nasdaq,1.86,1.7,5.64,211497,1.9446,2.1796,N/A,N/A,4.6
9637000,ATRM_nasdaq,0.53,0.35,1.17,7405,0.596,0.6496,N/A,N/A,N/A
21189000,AFCE_nasdaq,36.94,20.74,37.32,200048,34.7626,32.157,26.58,22.8,2.9
37451000,AFFY_nasdaq,1.02,0.78,27.74,5837430,1.2271,7.4084,N/A,N/A,2.3
53982000,AFFX_nasdaq,4.69,2.96,4.84,665920,3.8511,3.8808,N/A,58.63,27.2
21921000,AGEN_nasdaq,3.8,3.37,5.47,280891,3.8854,4.1732,N/A,N/A,11.7
12559000,AGYS_nasdaq,11.22,7.23,14.24,63412,12.2346,10.2965,140.25,140.25,4.1
35058000,AIRM_nasdaq,34.11,31.21,50.61,671970,36.3937,41.0611,17.58,12.23,14.6
1661000,AIRT_nasdaq,10.07,7.76,10.49,4439,10.0989,9.4341,N/A,N/A,1.1
45520000,ATSG_nasdaq,6.51,3.38,6.85,163989,6.2937,5.3983,9.43,7.84,7.2
26520000,AMCN_nasdaq,1.85,1.33,2.59,60611,1.8246,1.9755,N/A,20.56,0.1
85854000,AIXG_nasdaq,16.65,11.21,18.06,172273,16.6703,14.3478,N/A,79.29,5.1
172031000,AKAM_nasdaq,42.55,27.86,48.47,2697080,44.3749,40.0853,21.82,19.25,4.2
70788000,AKRX_nasdaq,13.71,11.73,16.87,581292,13.9763,13.8074,24.93,17.35,19.2
45813000,ALSK_nasdaq,1.72,1.55,2.5,329409,1.7726,1.7745,6.37,8.19,0.4
18376000,AMRI_nasdaq,12.68,2.62,13.33,483366,11.3569,9.0526,20.79,21.86,3.2
2378000,ALCS_nasdaq,11.02,6.18,11.21,17308,9.9371,8.5631,N/A,N/A,23.9
192779000,ALXN_nasdaq,95.35,81.82,119.54,1471380,95.2463,94.8034,32.32,29.07,3.1
14375000,ALXA_nasdaq,4.24,2.91,6.65,416486,4.4857,4.5774,N/A,N/A,8.9
2465000,ALCO_nasdaq,41.81,26.37,47,12822,44.2469,42.627,16.93,38.71,14.3
63301000,ALGN_nasdaq,37.3,23.45,39.82,898280,36.222,32.4337,31.34,25.72,7.8
3414000,ALIM_nasdaq,4.8,1.26,5.69,128377,4.6797,3.0903,N/A,N/A,2
133386000,ALKS_nasdaq,29.36,16.97,34.3,1733120,30.2126,25.254,N/A,N/A,3.7
14016000,ALGT_nasdaq,107.3,61.63,109.72,99891,99.2477,86.5925,19.87,16.87,10.5
3447000,ALLB_nasdaq,14.61,12.01,14.72,2158,13.8517,13.2862,N/A,N/A,4.6
5759000,AFOP_nasdaq,23.73,8.6,24.8,119303,20.9377,14.9907,16.14,13.41,1
4267000,AIQ_nasdaq,15.92,3.6,16.95,46170,15.0586,9.7902,N/A,N/A,1
0,AHGP_nasdaq,60.76,42.15,66.27,63773,62.2257,54.5388,17.12,16.69,3.2
20772000,ARLP_nasdaq,71.06,52.21,78.5,81106,72.2237,66.1634,11.3,11.09,3.9
4453000,AHPI_nasdaq,2.6225,2.44,3.33,1827,2.5963,2.6737,N/A,N/A,1
4610000,AMOT_nasdaq,6.85,5.7,7.24,5505,6.8643,6.8873,N/A,N/A,0.3
27768000,ALLT_nasdaq,13.24,10.75,29.05,499334,12.5451,13.309,37.83,20.37,4.4
154495000,MDRX_nasdaq,13.12,8.84,14.24,2282290,13.4854,12.3504,26.24,18.74,1.7
8182000,AFAM_nasdaq,18.61,17.66,23.99,39784,19.6226,20.0374,15.38,16.04,12.6
52507000,ALNY_nasdaq,35.84,11.78,36.7,456900,30.0091,24.7508,N/A,N/A,7.5
17657000,AOSL_nasdaq,7.89,6.64,10.45,133484,7.7326,8.2997,N/A,N/A,1.4
61107000,ATEC_nasdaq,2.06,1.41,2.4,185811,1.9797,1.8777,N/A,68.67,3.9
0,ASDR_nasdaq,47.25,46.63,53.28,528,51.2151,51.2409,N/A,N/A,N/A
