FloatShares,Ticker,Price,52 week high,52 week low,avg Daily Volume,50 day Moving Average,200 day moving average,price/eps estimate this year,price/eps estimate next year,Short Ratio
    23133000,FLWS_nasdaq,6.14,2.77,7.17,135250,6.6225,5.6953,27.91,22.74,5.90
     6321000,FCTY_nasdaq,7.46,4.50,8.46,13478,6.9828,5.9791,N/A,19.13,1.60
     4248000,FCCY_nasdaq,10.18,7.55,10.36,4088,9.6969,9.1655,10.39,9.70,3.30
    13301000,SRCE_nasdaq,27.66,19.70,28.82,30633,26.9775,24.6207,N/A,N/A,5.40
    23949000,FUBC_nasdaq,7.33,5.30,8.25,58227,7.5683,6.7218,31.87,19.81,11.90
    44369000,VNET_nasdaq,13.18,8.39,14.68,423788,13.0989,10.5816,35.62,19.10,5.80
N/A,SSRX_nasdaq,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
     9978000,JOBS_nasdaq,65.92,40.31,70.15,66581,65.9644,60.9029,25.85,20.54,3.10
    67578000,EGHT_nasdaq,9.35,5.62,9.60,717717,9.0456,7.7299,35.96,27.50,7.80
     7267000,AVHI_nasdaq,16.26,11.34,18.26,54533,16.4314,14.6447,N/A,N/A,12.90
    28683000,SHLM_nasdaq,27.38,23.05,33.40,119473,27.6611,28.7143,15.92,13.16,3.80
    27975000,AAON_nasdaq,24.55,11.9533,26.91,131770,23.9344,20.2557,25.84,22.32,7.50
    38126000,ASTM_nasdaq,0.30,0.27,1.80,1069020,0.4008,0.7091,N/A,N/A,8.10
    21038000,ABAX_nasdaq,41.30,33.28,51.84,122366,44.6011,44.9727,44.89,33.04,14.70
    31290000,ABMD_nasdaq,22.43,11.80,25.25,331302,23.3603,19.9194,186.92,37.38,20.70
    78709000,AXAS_nasdaq,2.56,1.56,2.72,611159,2.4464,2.2831,18.29,8.83,13.00
    48571000,ACTG_nasdaq,22.01,19.86,32.59,680177,23.0647,25.4778,14.39,8.80,3.50
    36798000,ACHC_nasdaq,38.00,17.90,38.91,316553,36.1925,32.0781,36.89,28.15,17.10
    62074000,ACAD_nasdaq,20.63,1.71,21.85,2883350,19.7089,13.4724,N/A,N/A,3.50
    28940000,ACST_nasdaq,2.70,1.61,4.20,23105,3.4964,2.7229,N/A,N/A,2.60
    17085000,AXDX_nasdaq,8.89,2.81,9.22,94986,8.2186,7.1761,N/A,N/A,27.40
    48649000,ACCL_nasdaq,9.20,7.59,9.98,147383,8.9767,9.0726,28.75,24.86,9.10
     6452000,ANCX_nasdaq,15.99,10.90,18.07,29736,15.0086,14.2206,13.11,15.38,10.50
    66621000,ARAY_nasdaq,6.29,3.76,7.44,994284,6.0478,5.1774,N/A,N/A,17.40
     1130000,ACRX_nasdaq,9.88,2.27,13.50,672211,11.2756,7.7339,N/A,N/A,4.10
    25815000,ACET_nasdaq,15.98,8.25,17.29,177864,15.5133,12.3951,18.16,15.51,1.70
    68420000,ACHN_nasdaq,6.66,6.12,11.36,1274970,6.8194,7.7664,N/A,N/A,8.30
    39004000,ACIW_nasdaq,49.34,37.97,52.03,265997,48.2961,46.758,23.61,17.37,21.80
     5830000,ACNB_nasdaq,17.30,14.58,17.74,2980,17.1503,16.7762,N/A,N/A,2.00
    39281000,ACOR_nasdaq,34.36,22.37,40.87,315784,36.3369,33.7492,127.26,47.07,8.90
    15406000,ACFN_nasdaq,6.18,5.85,11.00,107447,7.9967,7.6868,N/A,N/A,33.20
    63274000,ACTS_nasdaq,2.70,1.46,3.40,49420,2.7625,2.7523,N/A,N/A,0.60
    15117000,ACPW_nasdaq,3.52,2.90,4.98,74822,3.8408,4.2945,N/A,16.76,2.70
