"index","ticker","year","quarter","QuarterHeading","QuarterRange","QuarterCountperRange","DateString","CurrencyHeader","Net Income/Starting Line","Depreciation/Depletion","Amortization","Deferred Taxes","Non-Cash Items","Changes in Working Capital","Cash from Operating Activities","Capital Expenditures","Other Investing Cash Flow Items, Total","Cash from Investing Activities","Financing Cash Flow Items","Total Cash Dividends Paid","Issuance (Retirement) of Stock, Net","Issuance (Retirement) of Debt, Net","Cash from Financing Activities","Foreign Exchange Effects","Net Change in Cash","Cash Interest Paid, Supplemental","Cash Taxes Paid, Supplemental"
"0","FLWS_nasdaq","2013","2","12 months ending 2013-06-30","days","366.2498","2013-06-30","In Millions of USD (except for per share items)","12.371241","18.85051","0.0","-0.8148905","7.71719","-3.3764598","34.747555","-20.095184","-4.50208","-24.597263","-0.49","0.0","-9.092299","-29.30124","-38.88354","0.0","-28.743248","1.1","8.3"
"8","FCTY_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","7.274367","0.48167872","0.0","-3.2144809","1.8856689","-0.75706863","5.6752605","-0.2727695","-54.77182","-55.05958","35.313725","0.0","-0.086630136","-1.9583607","33.278633","0.0","-16.10569","0.0","0.07912568"
"16","FCCY_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","5.427045","1.1303176","0.0","-0.9121644","1.4072797","4.1290417","11.176424","-0.66934574","97.88162","97.21228","38.673546","0.0","2.7979224","-55.436043","-13.964569","0.0","94.42413","0.0","2.7579246"
"24","SRCE_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","51.35293","16.479252","0.0","-5.891184","8.515455","18.06871","88.515274","-8.154182","-266.76456","-274.91876","128.71875","-16.865078","2.8866043","40.42568","155.16595","0.0","-31.222534","0.0","17.239399"
"32","FUBC_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","5.7633066","3.5225205","0.0","-3.2817535","-1.4379666","5.2390885","9.795305","-1.2871081","-77.505905","-78.78311","-34.294525","-2.0739827","0.0","0.0","-36.36341","0.0","-105.36621","1.9187979","1.7461843"
"53","EGHT_nasdaq","2013","2","3 months ending 2013-06-30","days","366.50085","2013-06-30","In Millions of USD (except for per share items)","12.64274","2.5786302","1.4173973","7.8843837","3.4709592","1.1872603","29.18137","-5.2126026","0.0","-5.2126026","0.0075342464","0.0","2.7169862","-0.077808216","2.6467125","0.0","26.615479","0.0075342464","0.3089041"
"62","AVHI_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-54.00771","3.5726426","0.0","0.0","32.897774","-18.890465","-36.427753","-3.0040774","-0.08361943","-3.087697","4.544586","0.0","127.60005","0.0","132.14465","0.0","92.62919","7.8834095","0.0"
"70","SHLM_nasdaq","2013","-1","9 months ending 2013-05-31","days","365.67056","2013-05-31","In Millions of USD (except for per share items)","47.142673","29.842138","11.07313","-15.061881","12.735908","-50.845955","34.886803","-28.299088","-52.485622","-80.7847","-0.14778084","-22.730083","-6.038267","27.585548","-1.3305779","-2.8412538","-50.079666","1.9033151","6.869261"
"78","AAON_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","33.03773","13.035065","0.0","-2.9829357","1.5723889","8.850257","53.512497","-9.139373","-15.8463125","-24.985685","0.58447737","-4.5047674","-4.590204","-2.3339179","-10.854302","0.0","17.6875","0.020383561","13.733524"
"86","ASTM_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-25.3336","0.6081728","0.0","0.0","-1.8888693","0.23617278","-26.393112","-0.1771519","0.0","-0.1771519","0.0","0.0","21.703085","-0.040164977","21.662918","0.0","-4.907343","0.0050958903","0.0"
