"index","ticker","year","quarter","QuarterHeading","QuarterRange","QuarterCountperRange","DateString","CurrencyHeader","Revenue","Other Revenue, Total","Total Revenue","Cost of Revenue, Total","Gross Profit","Selling/General/Admin. Expenses, Total","Research & Development","Depreciation/Amortization","Interest Expense(Income) - Net Operating","Unusual Expense (Income)","Other Operating Expenses, Total","Total Operating Expense","Operating Income","Interest Income(Expense), Net Non-Operating","Gain (Loss) on Sale of Assets","Other, Net","Income Before Tax","Income After Tax","Minority Interest","Equity In Affiliates","Net Income Before Extra. Items","Accounting Change","Discontinued Operations","Extraordinary Item","Net Income","Preferred Dividends","Income Available to Common Excl. Extra Items","Income Available to Common Incl. Extra Items","Basic Weighted Average Shares","Basic EPS Excluding Extraordinary Items","Basic EPS Including Extraordinary Items","Dilution Adjustment","Diluted Weighted Average Shares","Diluted EPS Excluding Extraordinary Items","Diluted EPS Including Extraordinary Items","Dividends per Share - Common Stock Primary Issue","Gross Dividends - Common Stock","Net Income after Stock Based Comp. Expense","Basic EPS after Stock Based Comp. Expense","Diluted EPS after Stock Based Comp. Expense","Depreciation, Supplemental","Total Special Items","Normalized Income Before Taxes","Effect of Special Items on Income Taxes","Income Taxes Ex. Impact of Special Items","Normalized Income After Taxes","Normalized Income Avail to Common","Basic Normalized EPS","Diluted Normalized EPS"
"0","FLWS_nasdaq","2013","2","3 months ending 2013-06-30","days","366.2589","2013-06-30","In Millions of USD (except for per share items)","736.1263","0.0","736.1263","430.6769","305.44943","239.321","21.669392","18.844088","0.0","0.0","0.0","710.5011","25.625158","0.0","0.0","0.0","24.619713","15.612416","0.0","0.0","15.612416","0.0","0.0","0.0","12.213654","0.0","15.612416","12.213654","0.0","0.0","0.0","0.0","264.48227","0.23813367","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.23813367"
"9","FCTY_nasdaq","2013","2","3 months ending 2013-06-30","days","365.26096","2013-06-30","In Millions of USD (except for per share items)","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.326424","7.39134","0.0","0.0","7.39134","0.0","0.0","0.0","7.39134","0.0","7.39134","7.39134","0.0","0.0","0.0","0.0","35.548","0.8246544","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8246544"
"18","FCCY_nasdaq","2013","2","3 months ending 2013-06-30","days","365.26096","2013-06-30","In Millions of USD (except for per share items)","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.5773845","5.4780855","0.0","0.0","5.4780855","0.0","0.0","0.0","5.4780855","0.0","5.4780855","5.4780855","0.0","0.0","0.0","0.0","23.738094","0.92035794","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.92035794"
"27","SRCE_nasdaq","2013","2","3 months ending 2013-06-30","days","365.26096","2013-06-30","In Millions of USD (except for per share items)","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80.27589","51.698067","0.0","0.0","51.698067","0.0","0.0","0.0","51.698067","0.0","51.007824","51.007824","0.0","0.0","0.0","0.0","97.26172","2.0900638","0.0","0.68002045","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0900638"
"36","FUBC_nasdaq","2013","2","3 months ending 2013-06-30","days","365.26096","2013-06-30","In Millions of USD (except for per share items)","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.676369","6.687456","0.0","0.0","6.687456","0.0","0.0","0.0","6.687456","0.0","6.687456","6.687456","0.0","0.0","0.0","0.0","135.33792","0.20000601","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.20989671"
"45","VNET_nasdaq","2013","2","3 months ending 2013-06-30","days","365.26096","2013-06-30","In Millions of CNY (except for per share items)","1719.4941","0.0","1719.4941","1256.322","463.17194","305.0135","71.46586","0.0","0.0","0.0","0.0","1642.6208","76.86321","0.0","0.0","9.149748","66.2246","25.708736","-1.2426661","0.0","24.47607","0.0","0.0","0.0","24.47607","0.0","24.47607","24.47607","0.0","0.0","0.0","0.0","1417.9604","0.061642945","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.061642945"
"54","SSRX_nasdaq","2012","4","3 months ending 2012-12-31","days","365.25","2012-12-31","In Millions of CNY (except for per share items)","665.22003","4.73","669.94995","70.509995","594.73","400.30002","71.23","0.0","0.0","20.42","-0.91","561.55","108.4","0.0","0.0","-1.0","132.45999","102.57","-0.21000001","0.0","102.350006","0.0","0.0","0.0","102.350006","0.0","102.350006","102.350006","0.0","0.0","0.0","0.0","637.38","0.65","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.75"
"63","JOBS_nasdaq","2013","2","3 months ending 2013-06-30","days","365.26096","2013-06-30","In Millions of CNY (except for per share items)","1490.726","0.0","1490.726","411.6745","1079.0515","601.7941","0.0","0.0","0.0","0.0","0.0","1013.4686","477.25735","0.0","0.0","19.186337","559.3335","462.99832","0.0","0.0","462.99832","0.0","0.0","0.0","462.99832","0.0","462.99832","462.99832","0.0","0.0","0.0","0.0","238.41289","7.770338","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.770338"
"72","EGHT_nasdaq","2013","2","3 months ending 2013-06-30","days","365.26096","2013-06-30","In Millions of USD (except for per share items)","112.29858","0.0","112.29858","34.181023","78.12745","58.11539","8.655326","0.0","0.0","-0.989071","0.0","99.96256","12.345905","0.0","0.0","0.10000119","12.455797","7.4567122","0.0","0.0","7.4567122","0.0","0.0","0.0","7.4567122","0.0","7.4567122","7.4567122","0.0","0.0","0.0","0.0","300.35046","0.099893115","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.11011289"
"81","AVHI_nasdaq","2013","2","3 months ending 2013-06-30","days","365.26096","2013-06-30","In Millions of USD (except for per share items)","115.53064","0.99176425","116.52207","114.29952","1.2311163","17.472347","0.0","0.0","0.0","56.757915","0.0","195.68286","-79.170784","0.0","0.0","0.0","-78.91079","-78.91079","-1.1106594","0.0","-80.021454","0.0","0.0","0.0","-80.021454","0.0","-80.021454","-80.021454","0.0","0.0","0.0","0.0","50.806046","-6.3421326","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-1.8435608"
