"FLWS_nasdaq","Florists"
"FCTY_nasdaq","Commercial Banks"
"FCCY_nasdaq","Commercial Banks"
"SRCE_nasdaq","Commercial Banks"
"FUBC_nasdaq","Commercial Banks"
"VNET_nasdaq","IT Services &amp; Consulting - NEC"
"SSRX_nasdaq","Bio Therapeutic Drugs"
"JOBS_nasdaq","Employment Services - NEC"
"EGHT_nasdaq","Integrated Telecommunications Services - NEC"
"AVHI_nasdaq","Residential Real Estate Development"
"SHLM_nasdaq","Commodity Chemicals - NEC"
"AAON_nasdaq","Heating, Ventilation &amp; Air Conditioning Systems"
"ASTM_nasdaq","Biopharmaceuticals"
"ABAX_nasdaq","Veterinary Medical Equipment &amp; Supplies"
"ABMD_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"AXAS_nasdaq","Oil &amp; Gas Exploration and Production - NEC"
"ACTG_nasdaq","Business Support Services - NEC"
"ACHC_nasdaq","Healthcare Facilities &amp; Services - NEC"
"ACAD_nasdaq","Biotechnology &amp; Medical Research - NEC"
"AXDX_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"ACCL_nasdaq","Software - NEC"
"ANCX_nasdaq","Banks - NEC"
"ARAY_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"ACRX_nasdaq","Bio Therapeutic Drugs"
"ACET_nasdaq","Pharmaceuticals - NEC"
"ACHN_nasdaq","Bio Therapeutic Drugs"
"ACIW_nasdaq","IT Services &amp; Consulting - NEC"
"ACNB_nasdaq","Banks - NEC"
"ACOR_nasdaq","Bio Therapeutic Drugs"
"ACFN_nasdaq","IT Services &amp; Consulting - NEC"
"ACTS_nasdaq","Semiconductors - NEC"
"ACPW_nasdaq","Electrical Components &amp; Equipment - NEC"
"ATVI_nasdaq","Toys &amp; Juvenile Products - NEC"
"BIRT_nasdaq","IT Services &amp; Consulting - NEC"
"ACUR_nasdaq","Bio Therapeutic Drugs"
"ACXM_nasdaq","IT Services &amp; Consulting - NEC"
"ADES_nasdaq","Purification &amp; Treatment Equipment"
"ADUS_nasdaq","Home Healthcare Services"
"AEY_nasdaq","Communication &amp; Satellite Equipment"
"ADEP_nasdaq","Advanced Electronic Equipment"
"ADBE_nasdaq","Application Software"
"ADTN_nasdaq","Communications &amp; Networking - NEC"
"AEIS_nasdaq","Industrial Machinery &amp; Equipment - NEC"
"ADVS_nasdaq","Professional Information Services - NEC"
"AEGR_nasdaq","Biopharmaceuticals"
"AEHR_nasdaq","Testing &amp; Measuring Equipment"
"AEPI_nasdaq","Plastic Container &amp; Packaging"
"AVAV_nasdaq","Aerospace &amp; Defense - NEC"
"AEZS_nasdaq","Biotechnology &amp; Medical Research - NEC"
"ATRM_nasdaq","Testing &amp; Measuring Equipment"
"AFCE_nasdaq","Quick Service Restaurants"
"AFFX_nasdaq","Bio Diagnostics &amp; Testing"
"AGEN_nasdaq","Biotechnology &amp; Medical Research - NEC"
"AGYS_nasdaq","Computer Hardware - NEC"
"AIRM_nasdaq","Healthcare Facilities &amp; Services - NEC"
"AIRT_nasdaq","Courier Services"
"ATSG_nasdaq","Air Freight"
"AMCN_nasdaq","Outdoor Advertising"
"AIXG_nasdaq","Semiconductor Equipment &amp; Testing - NEC"
"AKAM_nasdaq","IT Services &amp; Consulting - NEC"
"AKRX_nasdaq","Pharmaceuticals - NEC"
"ALSK_nasdaq","Wired Telecommunications Carriers"
"AMRI_nasdaq","Biotechnology &amp; Medical Research - NEC"
"ALCS_nasdaq","Retail - Department Stores"
"ALXN_nasdaq","Biopharmaceuticals"
"ALXA_nasdaq","Bio Therapeutic Drugs"
"ALCO_nasdaq","Vegetable, Fruit &amp; Nut Farming"
"ALGN_nasdaq","Medical Equipment, Supplies &amp; Distribution - NEC"
"ALIM_nasdaq","Biopharmaceuticals"
"ALKS_nasdaq","Biotechnology &amp; Medical Research - NEC"
