"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",""
"STI_nyse","SunTrust Banks, Inc.","30.55","16502266239.55","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sti",""
"STI/WS/A_nyse","SunTrust Banks, Inc.","7.6","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sti/ws/a",""
"STI/WS/B_nyse","SunTrust Banks, Inc.","2.95","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sti/ws/b",""
"STI^A_nyse","SunTrust Banks, Inc.","24.64","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sti^a",""
"STI^E_nyse","SunTrust Banks, Inc.","25.97","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sti^e",""
"SPN_nyse","Superior Energy Services, Inc.","28.65","4571488946.1","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/spn",""
"SUP_nyse","Superior Industries International, Inc.","17.85","487704179.55","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/sup",""
"SVU_nyse","SuperValu Inc.","6.15","1581554221.2","n/a","n/a","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/svu",""
"SUSS_nyse","Susser Holdings Corporation","51.26","1093318593.84","n/a","2006","Consumer Non-Durables","Food Chains","http://www.nasdaq.com/symbol/suss",""
"SUSP_nyse","Susser Petroleum Partners LP","29.64","648489766.08","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/susp",""
"SFY_nyse","Swift Energy Company","13.19","571892798.21","n/a","1981","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sfy",""
"SWFT_nyse","Swift Transportation Company","14.86","2078280369.6","n/a","1990","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/swft",""
"SWZ_nyse","Swiss Helvetia Fund, Inc. (The)","12.86","398264490.7","n/a","1987","n/a","n/a","http://www.nasdaq.com/symbol/swz",""
"SWS_nyse","SWS Group, Inc.","5.68","187113661.28","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/sws",""
"SYA_nyse","Symetra Financial Corporation","13.5","1604143791","n/a","2010","Finance","Life Insurance","http://www.nasdaq.com/symbol/sya",""
"SMA_nyse","Symmetry Medical Inc","10.15","378354323.2","n/a","2004","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/sma",""
